index,label,fld,imgfile
0,0,lightning,2100.jpg
1,0,lightning,2114.jpg
2,0,lightning,2128.jpg
3,0,lightning,1838.jpg
4,0,lightning,1964.jpg
5,0,lightning,1970.jpg
6,0,lightning,1958.jpg
7,0,lightning,2074.jpg
8,0,lightning,2060.jpg
9,0,lightning,2048.jpg
10,0,lightning,2049.jpg
11,0,lightning,2061.jpg
12,0,lightning,2075.jpg
13,0,lightning,1959.jpg
14,0,lightning,1971.jpg
15,0,lightning,1965.jpg
16,0,lightning,1839.jpg
17,0,lightning,2129.jpg
18,0,lightning,2115.jpg
19,0,lightning,2101.jpg
20,0,lightning,2117.jpg
21,0,lightning,2103.jpg
22,0,lightning,1998.jpg
23,0,lightning,1973.jpg
24,0,lightning,1967.jpg
25,0,lightning,2063.jpg
26,0,lightning,2077.jpg
27,0,lightning,2088.jpg
28,0,lightning,2089.jpg
29,0,lightning,2076.jpg
30,0,lightning,2062.jpg
31,0,lightning,1966.jpg
32,0,lightning,1972.jpg
33,0,lightning,1999.jpg
34,0,lightning,2102.jpg
35,0,lightning,2116.jpg
36,0,lightning,2112.jpg
37,0,lightning,2106.jpg
38,0,lightning,1989.jpg
39,0,lightning,1976.jpg
40,0,lightning,1962.jpg
41,0,lightning,2066.jpg
42,0,lightning,2072.jpg
43,0,lightning,2099.jpg
44,0,lightning,2098.jpg
45,0,lightning,2073.jpg
46,0,lightning,2067.jpg
47,0,lightning,1963.jpg
48,0,lightning,1977.jpg
49,0,lightning,1988.jpg
50,0,lightning,2107.jpg
51,0,lightning,2113.jpg
52,0,lightning,2139.jpg
53,0,lightning,2105.jpg
54,0,lightning,2111.jpg
55,0,lightning,1949.jpg
56,0,lightning,1961.jpg
57,0,lightning,1975.jpg
58,0,lightning,2059.jpg
59,0,lightning,2071.jpg
60,0,lightning,2065.jpg
61,0,lightning,2064.jpg
62,0,lightning,2070.jpg
63,0,lightning,2058.jpg
64,0,lightning,1974.jpg
65,0,lightning,1960.jpg
66,0,lightning,1948.jpg
67,0,lightning,2110.jpg
